Raw Data 		Experiment - wj-qpcr (Run on LCS480 1.5.1.62)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510	
A1	Sample 1	3	3	1	7236130	81.61	0.08
A1	Sample 1	3	3	1	7237370	81.81	0.09
A1	Sample 1	3	3	1	7238610	82.01	0.08
A1	Sample 1	3	3	1	7239860	82.19	0.09
A1	Sample 1	3	3	1	7241100	82.41	0.08
A1	Sample 1	3	3	1	7242350	82.6	0.07
A1	Sample 1	3	3	1	7243590	82.81	0.07
A1	Sample 1	3	3	1	7244820	83.02	0.08
A1	Sample 1	3	3	1	7246060	83.2	0.08
A1	Sample 1	3	3	1	7247300	83.44	0.08
A1	Sample 1	3	3	1	7248540	83.64	0.07
A1	Sample 1	3	3	1	7249770	83.85	0.08
A1	Sample 1	3	3	1	7251010	84.03	0.07
A1	Sample 1	3	3	1	7252260	84.22	0.07
A1	Sample 1	3	3	1	7253490	84.41	0.08
A1	Sample 1	3	3	1	7254710	84.63	0.07
A1	Sample 1	3	3	1	7255950	84.81	0.07
A1	Sample 1	3	3	1	7257200	85.05	0.08
A1	Sample 1	3	3	1	7258420	85.22	0.07
A1	Sample 1	3	3	1	7259690	85.47	0.07
A1	Sample 1	3	3	1	7260920	85.65	0.08
A1	Sample 1	3	3	1	7262170	85.86	0.07
A1	Sample 1	3	3	1	7263400	86.04	0.08
A1	Sample 1	3	3	1	7264630	86.25	0.07
A1	Sample 1	3	3	1	7265860	86.46	0.08
A1	Sample 1	3	3	1	7267110	86.64	0.07
A1	Sample 1	3	3	1	7268330	86.83	0.07
A1	Sample 1	3	3	1	7269590	87.04	0.07
A1	Sample 1	3	3	1	7270820	87.25	0.08
A1	Sample 1	3	3	1	7272070	87.46	0.07
A1	Sample 1	3	3	1	7273310	87.68	0.07
A1	Sample 1	3	3	1	7274550	87.82	0.07
A1	Sample 1	3	3	1	7275790	88.04	0.07
A1	Sample 1	3	3	1	7277050	88.26	0.07
A1	Sample 1	3	3	1	7278280	88.47	0.07
A1	Sample 1	3	3	1	7279520	88.66	0.07
A1	Sample 1	3	3	1	7280750	88.86	0.07
A1	Sample 1	3	3	1	7282010	89.09	0.08
A1	Sample 1	3	3	1	7283250	89.28	0.07
A1	Sample 1	3	3	1	7284490	89.49	0.08
A1	Sample 1	3	3	1	7285730	89.67	0.07
A1	Sample 1	3	3	1	7286970	89.86	0.07
A1	Sample 1	3	3	1	7288210	90.11	0.07
A1	Sample 1	3	3	1	7289450	90.27	0.07
A1	Sample 1	3	3	1	7290690	90.48	0.07
A1	Sample 1	3	3	1	7291940	90.7	0.07
A1	Sample 1	3	3	1	7293170	90.86	0.07
A1	Sample 1	3	3	1	7294410	91.08	0.07
A1	Sample 1	3	3	1	7295650	91.27	0.08
A1	Sample 1	3	3	1	7296880	91.52	0.07
A1	Sample 1	3	3	1	7298110	91.7	0.07
A1	Sample 1	3	3	1	7299350	91.9	0.07
A1	Sample 1	3	3	1	7300600	92.09	0.07
A1	Sample 1	3	3	1	7301820	92.3	0.07
A1	Sample 1	3	3	1	7303080	92.5	0.06
A1	Sample 1	3	3	1	7304310	92.68	0.08
A1	Sample 1	3	3	1	7305550	92.88	0.07
A1	Sample 1	3	3	1	7306770	93.1	0.08
A1	Sample 1	3	3	1	7308020	93.32	0.07
A1	Sample 1	3	3	1	7309260	93.49	0.07
A1	Sample 1	3	3	1	7310500	93.71	0.07
A1	Sample 1	3	3	1	7311740	93.9	0.07
A1	Sample 1	3	3	1	7312990	94.13	0.07
A1	Sample 1	3	3	1	7314230	94.32	0.07
A1	Sample 1	3	3	1	7315460	94.49	0.07
A1	Sample 1	3	3	1	7316680	94.71	0.08
A2	Sample 2	2	2	1	140570	59.95	0.05
A2	Sample 2	2	2	2	239860	59.95	0.05
A2	Sample 2	2	2	3	339060	59.95	0.09
A2	Sample 2	2	2	4	438260	59.95	0.05
A2	Sample 2	2	2	5	537470	59.95	0.12
A2	Sample 2	2	2	6	636770	59.95	0.09
A2	Sample 2	2	2	7	736080	59.95	0.09
A2	Sample 2	2	2	8	835370	59.92	0.09
A2	Sample 2	2	2	9	934670	59.95	0.05
A2	Sample 2	2	2	10	1033970	59.95	0.09
A2	Sample 2	2	2	11	1133270	59.95	0.09
A2	Sample 2	2	2	12	1232580	59.95	0.07
A2	Sample 2	2	2	13	1331780	59.95	0.05
A2	Sample 2	2	2	14	1431090	59.95	0.09
A2	Sample 2	2	2	15	1530380	59.95	0.07
A2	Sample 2	2	2	16	1629680	59.95	0.07
A2	Sample 2	2	2	17	1728980	59.95	0.07
A2	Sample 2	2	2	18	1828300	59.95	0.14
A2	Sample 2	2	2	19	1927490	59.95	0.09
A2	Sample 2	2	2	20	2026700	59.95	0.09
A2	Sample 2	2	2	21	2126000	59.95	0.05
A2	Sample 2	2	2	22	2225290	59.95	0.07
A2	Sample 2	2	2	23	2324590	59.95	0.05
A2	Sample 2	2	2	24	2423910	59.92	0.05
A2	Sample 2	2	2	25	2523190	59.95	0.00
A2	Sample 2	2	2	26	2622520	59.95	0.07
A2	Sample 2	2	2	27	2721810	59.95	0.07
A2	Sample 2	2	2	28	2821010	59.95	0.05
A2	Sample 2	2	2	29	2920310	59.95	0.09
A2	Sample 2	2	2	30	3019610	59.95	0.09
A2	Sample 2	2	2	31	3118910	59.95	0.09
A2	Sample 2	2	2	32	3218220	59.95	0.07
A2	Sample 2	2	2	33	3317520	59.95	0.12
A2	Sample 2	2	2	34	3416720	59.95	0.14
A2	Sample 2	2	2	35	3516030	59.95	0.09
A2	Sample 2	2	2	36	3615320	59.95	0.05
A2	Sample 2	2	2	37	3714520	59.95	0.07
A2	Sample 2	2	2	38	3813840	59.95	0.09
A2	Sample 2	2	2	39	3913130	59.95	0.07
A2	Sample 2	2	2	40	4012430	59.95	0.16
A2	Sample 2	2	2	41	4111730	59.95	0.09
A2	Sample 2	2	2	42	4211030	59.95	0.09
A2	Sample 2	2	2	43	4310330	59.95	0.09
A2	Sample 2	2	2	44	4409540	59.92	0.09
A2	Sample 2	2	2	45	4508830	59.95	0.02
A2	Sample 2	2	2	46	4608130	59.95	0.11
A2	Sample 2	2	2	47	4707430	59.95	0.11
A2	Sample 2	2	2	48	4806730	59.95	0.11
A2	Sample 2	2	2	49	4905950	59.95	0.11
A2	Sample 2	2	2	50	5005250	59.95	0.09
A2	Sample 2	2	2	51	5104440	59.92	0.07
A2	Sample 2	2	2	52	5203750	59.95	0.05
A2	Sample 2	2	2	53	5303070	59.95	0.11
A2	Sample 2	2	2	54	5402350	59.95	0.11
A2	Sample 2	2	2	55	5501640	59.95	0.09
A2	Sample 2	2	2	56	5600960	59.95	0.05
A2	Sample 2	2	2	57	5700270	59.95	0.09
A2	Sample 2	2	2	58	5799560	59.95	0.11
A2	Sample 2	2	2	59	5898860	59.95	0.11
A2	Sample 2	2	2	60	5998170	59.95	0.09
A2	Sample 2	2	2	61	6097460	59.95	0.07
A2	Sample 2	2	2	62	6196760	59.95	0.09
A2	Sample 2	2	2	63	6296060	59.95	0.07
A2	Sample 2	2	2	64	6395370	59.95	0.07
A2	Sample 2	2	2	65	6494670	59.95	0.11
A2	Sample 2	2	2	66	6593980	59.92	0.09
A2	Sample 2	2	2	67	6693280	59.95	0.05
A2	Sample 2	2	2	68	6792570	59.95	0.07
A2	Sample 2	2	2	69	6891880	59.95	0.14
A2	Sample 2	2	2	70	6991180	59.95	0.09
A2	Sample 2	3	3	1	7102610	59.95	0.10
A2	Sample 2	3	3	1	7103860	59.73	0.11
A2	Sample 2	3	3	1	7105100	59.82	0.10
A2	Sample 2	3	3	1	7106340	60.1	0.10
A2	Sample 2	3	3	1	7107570	60.39	0.10
A2	Sample 2	3	3	1	7108810	60.6	0.09
A2	Sample 2	3	3	1	7110030	60.85	0.10
A2	Sample 2	3	3	1	7111260	61.07	0.10
A2	Sample 2	3	3	1	7112500	61.29	0.11
A2	Sample 2	3	3	1	7113730	61.56	0.09
A2	Sample 2	3	3	1	7114950	61.74	0.10
A2	Sample 2	3	3	1	7116200	61.99	0.10
A2	Sample 2	3	3	1	7117440	62.21	0.10
A2	Sample 2	3	3	1	7118680	62.43	0.10
A2	Sample 2	3	3	1	7119920	62.64	0.10
A2	Sample 2	3	3	1	7121150	62.82	0.10
A2	Sample 2	3	3	1	7122380	63.04	0.10
A2	Sample 2	3	3	1	7123610	63.22	0.10
A2	Sample 2	3	3	1	7124840	63.46	0.10
A2	Sample 2	3	3	1	7126070	63.67	0.10
A2	Sample 2	3	3	1	7127310	63.89	0.10
A2	Sample 2	3	3	1	7128540	64.07	0.10
A2	Sample 2	3	3	1	7129770	64.28	0.11
A2	Sample 2	3	3	1	7131000	64.49	0.10
A2	Sample 2	3	3	1	7132220	64.7	0.09
A2	Sample 2	3	3	1	7133450	64.86	0.10
A2	Sample 2	3	3	1	7134670	65.07	0.09
A2	Sample 2	3	3	1	7135910	65.27	0.09
A2	Sample 2	3	3	1	7137140	65.48	0.10
A2	Sample 2	3	3	1	7138380	65.7	0.10
A2	Sample 2	3	3	1	7139630	65.87	0.09
A2	Sample 2	3	3	1	7140860	66.09	0.10
A2	Sample 2	3	3	1	7142090	66.29	0.10
A2	Sample 2	3	3	1	7143330	66.5	0.11
A2	Sample 2	3	3	1	7144580	66.71	0.10
A2	Sample 2	3	3	1	7145810	66.92	0.10
A2	Sample 2	3	3	1	7147050	67.09	0.10
